order_id,order_date,customer_id,customer_name,email,country,state,city,product_sku,product_name,category,quantity,unit_price,discount_rate,gross_sales,discount_amount,net_sales,payment_method,payment_status,shipping_status,delivery_date,is_returned,source_file,record_quality_status,quality_issues
ORD-1004,2025-01-08,C-004,Luis Medina,luis.medina[at]example.com,Honduras,Cortes,San Pedro Sula,SKU-410,Coffee Maker,Home & Kitchen,1.0,89.0,0.1,89.0,8.9,80.1,Cash on Delivery,Pending,In Transit,,False,jan_export.csv,review,invalid_email
ORD-1018,2025-01-26,C-018,Lucia Herrera,lucia.herrera@example.com,Honduras,Atlantida,La Ceiba,SKU-612,Backpack,Apparel,,49.99,0.0,,,,Debit Card,Paid,Delivered,2025-02-04,False,jan_export.csv,review,invalid_quantity
ORD-1023,2025-02-03,C-023,Camila Rivera,camila.rivera@example.com,Honduras,Cortes,Choloma,SKU-777,USB-C Cable,Electronics,3.0,9.99,0.0,29.97,0.0,29.97,Debit Card,Paid,Delivered,2025-02-12,False,feb_export.csv,review,ambiguous_order_date_format
ORD-1026,2025-02-06,C-026,Jose Aguilar,jose.aguilar@example.com,Honduras,Francisco Morazan,Tegucigalpa,SKU-118,Desk Lamp,Home & Kitchen,2.0,34.99,-0.1,69.98,-6.998000000000001,76.97800000000001,Cash,Paid,Delivered,2025-02-14,False,feb_export.csv,review,negative_discount
ORD-1027,2025-02-07,C-027,Mia Thompson,mia.thompson@example.com,United States,NY,New York,SKU-305,Running Shoes,Apparel,-1.0,64.0,0.0,-64.0,-0.0,-64.0,Credit Card,Refunded,Returned,2025-02-15,True,feb_export.csv,review,non_positive_quantity
ORD-1028,2025-02-08,C-028,Sebastian Ortiz,sebastian.ortiz@example.com,Honduras,Cortes,San Pedro Sula,SKU-930,Monitor Stand,Office Supplies,1.0,,0.0,,,,Debit Card,Paid,Delivered,2025-02-16,False,feb_export.csv,review,invalid_unit_price
ORD-1039,,C-039,James Hall,james.hall@example.com,United States,NV,Las Vegas,SKU-930,Monitor Stand,Office Supplies,1.0,39.99,0.0,39.99,0.0,39.99,Credit Card,Paid,Delivered,2025-03-03,False,feb_export.csv,review,invalid_order_date
ORD-1044,2025-03-05,C-044,Diana Reyes,,Honduras,Yoro,El Progreso,SKU-725,Notebook,Office Supplies,8.0,3.5,0.0,28.0,0.0,28.0,Cash,Paid,Delivered,2025-03-14,False,mar_export.csv,review,missing_email
ORD-1048,2025-03-09,C-048,Claudia Hernandez,claudia.hernandez@example.com,Honduras,Atlantida,La Ceiba,SKU-118,Desk Lamp,Home & Kitchen,1.0,-15.0,0.0,-15.0,-0.0,-15.0,Debit Card,Paid,Delivered,2025-03-17,False,mar_export.csv,review,negative_unit_price
ORD-1052,2025-03-13,C-052,Elena Fuentes,elena.fuentes@example.com,Mexico,Nuevo Leon,Monterrey,,Unknown Item,,1.0,19.99,0.0,19.99,0.0,19.99,Credit Card,Paid,Delivered,2025-03-20,False,mar_export.csv,review,missing_product_sku | missing_category
ORD-1061,2025-03-22,,Guest Checkout,guest@example.com,United States,CA,Los Angeles,SKU-118,Desk Lamp,Home & Kitchen,1.0,34.99,0.0,34.99,0.0,34.99,Credit Card,Paid,Delivered,2025-03-27,False,mar_export.csv,review,missing_customer_id
