transfer_id,season_id,player_id,player_name,direction,transfer_window,from_club,to_club,transfer_fee_gbp,transfer_fee_eur,loan,position_group,age_at_transfer,nationality
T001,S1,P001,Edouard Mendy,IN,Summer 2020,Rennes,Chelsea,24000000,27000000,FALSE,Goalkeeper,28,Senegal
T002,S1,P010,Ben Chilwell,IN,Summer 2020,Leicester City,Chelsea,45000000,50000000,FALSE,Defender,23,England
T003,S1,P027,Kai Havertz,IN,Summer 2020,Bayer Leverkusen,Chelsea,71000000,80000000,FALSE,Forward,21,Germany
T004,S1,P025,Christian Pulisic,IN,Summer 2019,Borussia Dortmund,Chelsea,57600000,64000000,FALSE,Midfielder,20,USA
T005,S1,P026,Hakim Ziyech,IN,Summer 2020,Ajax,Chelsea,33300000,37000000,FALSE,Midfielder,27,Morocco
T006,S1,P028,Timo Werner,IN,Summer 2020,RB Leipzig,Chelsea,46800000,53000000,FALSE,Forward,24,Germany
T007,S2,P024,Raheem Sterling,IN,Summer 2022,Manchester City,Chelsea,45000000,50000000,FALSE,Midfielder,27,England
T008,S2,P009,Marc Cucurella,IN,Summer 2022,Brighton,Chelsea,58500000,65000000,FALSE,Defender,24,Spain
T009,S2,P008,Kalidou Koulibaly,IN,Summer 2022,Napoli,Chelsea,33300000,37000000,FALSE,Defender,31,Senegal
T010,S2,P029,Romelu Lukaku,IN,Summer 2021,Inter Milan,Chelsea,94500000,105000000,FALSE,Forward,28,Belgium
T011,S3,P020,Enzo Fernandez,IN,Winter 2023,Benfica,Chelsea,106800000,121000000,FALSE,Midfielder,22,Argentina
T012,S3,P012,Wesley Fofana,IN,Summer 2022,Leicester City,Chelsea,70000000,78000000,FALSE,Defender,21,France
T013,S3,P013,Malo Gusto,IN,Winter 2023,Olympique Lyon,Chelsea,26100000,29000000,FALSE,Defender,20,France
T014,S3,P011,Levi Colwill,IN,Summer 2022,Academy,Chelsea,0,0,FALSE,Defender,19,England
T015,S3,P022,Conor Gallagher,IN,Summer 2022,Academy,Chelsea,0,0,FALSE,Midfielder,22,England
T016,S2,P029,Romelu Lukaku,OUT,Summer 2022,Chelsea,Inter Milan (Loan),0,0,TRUE,Forward,29,Belgium
T017,S3,P007,Antonio Rudiger,OUT,Summer 2022,Chelsea,Real Madrid,0,0,FALSE,Defender,29,Germany
T018,S3,P016,Jorginho,OUT,Winter 2023,Chelsea,Arsenal,11700000,13000000,FALSE,Midfielder,31,Italy
T019,S4,P021,Moises Caicedo,IN,Summer 2023,Brighton,Chelsea,111600000,124000000,FALSE,Midfielder,22,Ecuador
T020,S4,P032,Cole Palmer,IN,Summer 2023,Manchester City,Chelsea,40500000,45000000,FALSE,Midfielder,21,England
T021,S4,P023,Romeo Lavia,IN,Summer 2023,Southampton,Chelsea,54000000,58000000,FALSE,Midfielder,19,Belgium
T022,S4,P031,Nicolas Jackson,IN,Summer 2023,Villarreal,Chelsea,32000000,35000000,FALSE,Forward,22,Senegal
T023,S4,P033,Noni Madueke,IN,Winter 2023,PSV Eindhoven,Chelsea,27000000,30000000,FALSE,Midfielder,21,England
T024,S4,P034,Pedro Neto,IN,Summer 2024,Wolverhampton,Chelsea,54000000,60000000,FALSE,Midfielder,24,Portugal
T025,S4,P003,Robert Sanchez,IN,Summer 2023,Brighton,Chelsea,22500000,25000000,FALSE,Goalkeeper,26,Spain
T026,S4,P008,Kalidou Koulibaly,OUT,Summer 2023,Chelsea,Al-Hilal,14400000,16000000,FALSE,Defender,32,Senegal
T027,S4,P015,N'Golo Kante,OUT,Summer 2023,Chelsea,Al-Ittihad,0,0,FALSE,Midfielder,32,France
T028,S4,P018,Mateo Kovacic,OUT,Summer 2023,Chelsea,Manchester City,22500000,25000000,FALSE,Midfielder,29,Croatia
